Title,Page,Year,Size,Author,Tags,Download Link
The Gifts of Imperfection: Embrace Who You Are,98 Pages,2015,1.1 MB,Brene Brown,"brene brown,as you think",https://www.pdfdrive.com/the-gifts-of-imperfection-embrace-who-you-are-d60365102.html
Teaching English as a Foreign Language,401 Pages,2012,9.23 MB,,"language teaching,english language,english language teaching",https://www.pdfdrive.com/teaching-english-as-a-foreign-language-d4432288.html
Data Analysis with Microsoft Excel,613 Pages,2010,10.55 MB,Kenneth N. Berk,data analysis,https://www.pdfdrive.com/data-analysis-with-microsoft-excel-d25241812.html
Astrophysics For People In A Hurry by Neil deGrasse Tyson,109 Pages,2017,3.14 MB,,,https://www.pdfdrive.com/astrophysics-for-people-in-a-hurry-by-neil-degrasse-tyson-d61378054.html
Think and Grow Rich by Napoleon Hill,253 Pages,2010,1.43 MB,,"think and grow rich,napoleon hill,as you think",https://www.pdfdrive.com/think-and-grow-rich-by-napoleon-hill-d15702473.html
How to Write a Business Plan,290 Pages,2010,3.02 MB,,"business plan,business planning,business writing",https://www.pdfdrive.com/how-to-write-a-business-plan-d18824346.html
"Power Up Your Mind: Learn faster, work smarter",273 Pages,1999,3.18 MB,,,https://www.pdfdrive.com/power-up-your-mind-learn-faster-work-smarter-d19459023.html
Mindset: The New Psychology of Success,147 Pages,2010,1.06 MB,,,https://www.pdfdrive.com/mindset-the-new-psychology-of-success-d60365105.html
Mastering Photoshop for Web Design,216 Pages,2011,13.46 MB,,Photoshop,https://www.pdfdrive.com/mastering-photoshop-for-web-design-d8109058.html
The Sixth Extinction An Unnatural History by Elizabeth Kolbert,323 Pages,2017,3.4 MB,,,https://www.pdfdrive.com/the-sixth-extinction-an-unnatural-history-by-elizabeth-kolbert-d60737078.html
Shepherding a Child's Heart by Tedd Trip,243 Pages,2017,1.16 MB,,,https://www.pdfdrive.com/shepherding-a-childs-heart-by-tedd-trip-d60737127.html
Start Where You Are: A Guide to Compassionate Living,242 Pages,2007,1022 KB,,,https://www.pdfdrive.com/start-where-you-are-a-guide-to-compassionate-living-d60375000.html
The Power of Now: A Guide to Spiritual Enlightenment,124 Pages,2006,7.51 MB,,,https://www.pdfdrive.com/the-power-of-now-a-guide-to-spiritual-enlightenment-d60365106.html
"The 5 Second Rule: Transform your Life, Work, and Confidence with Everyday Courage",252 Pages,2017,11.94 MB,,"5 second rule,5 seconds rule,5 second",https://www.pdfdrive.com/the-5-second-rule-transform-your-life-work-and-confidence-with-everyday-courage-d60374999.html
Blink: The Power of Thinking Without Thinking,374 Pages,2017,1.1 MB,,,https://www.pdfdrive.com/blink-the-power-of-thinking-without-thinking-d61378071.html
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,689 Pages,2015,1.32 MB,Jen Sincero,"greatness,badass",https://www.pdfdrive.com/you-are-a-badass-how-to-stop-doubting-your-greatness-and-start-living-an-awesome-life-d60365112.html
The Book of Joy: Lasting Happiness in a Changing World by Dalai Lama,283 Pages,2017,5.37 MB,,dalai lama,https://www.pdfdrive.com/the-book-of-joy-lasting-happiness-in-a-changing-world-by-dalai-lama-d60375019.html
Never Split the Difference: Negotiating As If Your Life Depended On It,375 Pages,2017,1.32 MB,Chris Voss,,https://www.pdfdrive.com/never-split-the-difference-negotiating-as-if-your-life-depended-on-it-d145171860.html
Concepts of Physics HC Verma Volume1,479 Pages,2012,13.07 MB,,,https://www.pdfdrive.com/concepts-of-physics-hc-verma-volume1-d43364757.html
The Miracle Morning: The Not-So-Obvious Secret Guaranteed to Transform Your Life,187 Pages,2017,1.15 MB,,,https://www.pdfdrive.com/the-miracle-morning-the-not-so-obvious-secret-guaranteed-to-transform-your-life-d61378069.html
The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind,225 Pages,2017,3.34 MB,,,https://www.pdfdrive.com/the-whole-brain-child-12-revolutionary-strategies-to-nurture-your-childs-developing-mind-d60737121.html
100 Great Business Ideas,241 Pages,2009,1 MB,Jeremy Kourdi,"100,business idea,100 to 1",https://www.pdfdrive.com/100-great-business-ideas-d34385361.html
The Complete Yoga Poses,1132 Pages,2016,26.85 MB,Daniel Lacerda,"yoga poses,posing",https://www.pdfdrive.com/the-complete-yoga-poses-d33413615.html
Spoken English: Flourish Your Language,225 Pages,2010,5.11 MB,Robert Carmen,"spoken english,better english",https://www.pdfdrive.com/spoken-english-flourish-your-language-d1509842.html
